index,sortable,citation_engl,citation_heb,attribution_chain,attributions_cited_in_story,rabbis_mentioned_in_sequel,party_or_parties,party_ids,judge,satlow_sperling_id,judge_gen,Ri,Pu,St,Pr,Vow,Oth,rabb_actor,explicit_case
1,0101.009a.001,Berakhot 9a,ברכות דף ט עמוד א,,Simeon (T),,Pair of sages [or: Zoga?],pair_of_rabbis,Joshua b. Levi,1544,P1,1,,,,,,1,
2,0101.022a.001,Berakhot 22a,ברכות דף כב עמוד א,Rabin,,,anon [in rab setting?],anon_in_rab_setting?,Asi,535,P3,1,1,,,,,1,
3,0101.045b.001,Berakhot 45b,ברכות דף מה עמוד ב,,,,Yehuda bar Maremar; Mar bar Rav Ashi;Aha of Difti,1464;2156;304,Maremar,2198,B6,1,,,,,,1,
4,0201.134b.001,Shabbat 134b,שבת דף קלד עמוד ב,,,,Father of new baby,0201_01,Rava,2582,B4,1,,,,,,,
5,0201.139a.001,Shabbat 139a,שבת דף קלט עמוד א,Yehuda bar Shelat --> Rab Assi,,,kenishta de Ma`on,kenishta_de_ma`on,Yohanan,1570,P1,1,,,,,,,1
6,0201.140a.001,Shabbat 140a,שבת דף קמ עמוד א,Hiyya b. Abin,,,Hiyya b. Abin,1094,Ada b. Ahaba; Huna,194;895,B2;B2,1,,,,,,,1
7,0202.006a.001,Eruvin 6a,עירובין דף ו עמוד א,,,Huna; Hanan b. Raba,anon,0202_01,Rab,2578,B1,1,,,,,,,
8,0202.007b.001,Eruvin 7b,עירובין דף ז עמוד ב,,,Yosef; Abbaye,anon,0202_02,Judah b. Yehezqel,1394,B3,1,,,,,,,1
9,0202.011b.001,Eruvin 11b,עירובין דף יא עמוד ב,,,Sheshet; Gidal,be-resh-galuta,be_resh_galuta,Nahman,2285,B4,,,,,,,?,
10,0202.012a.001,Eruvin 12a,עירובין דף יב עמוד א,,,,anon,0202_03,Judah b. Yehezqel,1394,B3,1,,,,,,,1
11,0202.025a.001,Eruvin 25a,עירובין דף כה עמוד א,,,,a woman,0202_04,Nahman,2285,B4,,,,,,,,
12,0202.060a,Eruvin 60a,עירובין דף ס עמוד א,,,Abbaye,people of  Qaquna,people_of_qaquna,Yosef,1764,B3,1,,,,,,,1
13,0203.025b;0205.082a.001;0404.074a.001,Pesahim 25b; Yoma 82a; Sanhedrin 74a,סנהדרין דף עד עמוד א,,,,anon,B0404_08,Raba*,2582,B4,,,,,,1,,
14,0203.025b;0205.082b.001;0404.074a.001,Pesahim 25b; Yoma 82b; Sanhedrin 74a,יומא דף פב עמוד ב,,,,anon,B0404_08,Raba*,2582,B4,,,,,,1,,
15,0203.113b.001,Pesahim 113b,פסחים דף קיג עמוד ב,,,,Tobiah;Zibud,tobiah;zibud,Pappa,2518,B5,,,,,,1,?,
16,0205.001a.001,Yoma 1a,ראש השנה דף לא עמוד ב,,,,anon,B0208_Anon_1,Amemar,514,B6,,,,,,1,,
17,0205.082b.002,Yoma 82b,יומא דף פב עמוד ב,,,,anon pregnant woman,B0203_01,Rabbi,1518,P?,1,,,,,,,
18,0205.082b.003,Yoma 82b,יומא דף פב עמוד ב,,,,anon pregnant woman,B0203_02,Hanina,1212,P?,1,,,,,,,
19,0206.011a.001,Sukkah 11a,סוכה דף יא עמוד א,,Rab,Huna and Rab Yosef [about Rab and Samuel]; Y attests to story,Amram Hasida,2448,Hiyya b. Ashi,1102,B2,1,,,,,,1,1
20,0206.011b.001,Sukkah 11b,סוכה דף יא עמוד ב,,Samuel,NEEDS WORK,Matena,2225,Samuel,2757,B1,1,,,,,,1,
21,0206.031a.001,Sukkah 31a,סוכה דף לא עמוד א,,,,woman;resh_galuta;rabbanan of resh galuta,B0206_01; resh_galuta; rabbanan_de_be_resh_galuta,Nahman,2284,B4,1,,,1,,,1,1
22,0207.004a.001,Besah 4a,ביצה דף ד עמוד א,,Rab; Yohanan,,Host of AbA,_194,Ada b. Ahavah,194,B2,1,,,,,,1,1
23,0207.004a.002,Besah 4a,ביצה דף ד עמוד א,,Rab; Yohanan; Rava,,Host of Pappa; anon,_2518; 0207_01,Pappa,2518,B5,1,,,,,,1,1
24,0207.007a.001,Besah 7a,ביצה דף ז עמוד א,,,,Buyer of eggs,0207_02,Ami,495,P3? P4?,,,,1,,,,1
25,0207.007a.002,Besah 7a,ביצה דף ז עמוד א,,,,Buyer of eggs,0207_03,Ami,495,P3? P4?,,,,1,,,,1
