Source,Target,Type,Id,sortable,partyname,judgename,judgegen_composite,judgegen,judgegeog,rabb. actor
B0403_35,0,Directed,1312,0403.082b.001[m. Kil. 4:9],anon[BB-35; from Salmon],Sages[T],T,0,P,N
6,2225,Directed,1769,0211.026a.001,Abba,Matena,B6,6,B,Y
6,1394,Directed,1768,0211.026a.001,Abba,Judah b. Yehezqel,B2,2,B,Y
6,22004,Directed,1377,0403.171b.001,Abba[x],Hanina b. Pappi,P3,3,P,Y
6,1885,Directed,1375,0403.170a.001,Abba[x],Ishaq Napaha,P3,3,P,Y
_6,6,Directed,1770,0507.029b.001,Agra FIL of Abba,Abba,Px,X,P,Y
_867,6,Directed,1739,0302.085b.003,house of Dimi[B4 ] = Avdimi P5x],Abba,Px,X,P,Y
B0403_30,47,Directed,1305,0403.059a.001,anon[BB-30],Abba b. Mamal,P3,3,P,N
20990,92,Directed,1730,0302.085a.002,Hamma b. Rabbah b. Abbahu[P3],Abbahu,P3,3,P,Y
_131,92,Directed,1729,0302.085a.002,(Abimi b. Abahu[P3]x),Abbahu,P3,3,P,Y
B0302_46,92,Directed,1717,del,Abba[P5],Abbahu,P3,3,P,Y
1901,92,Directed,1591,0503.056b.002,Ishaq b.Yosef[B4],Abbahu,P3,3,P,Y
0306_36,92,Directed,1567,0306.088a.001,whox,Abbahu,P3,3,P,N
0306_28,92,Directed,1554,0306.054b.003,Preparer of Torah scroll,Abbahu,P3,3,P,N
98,2763,Directed,1384,0402.014a.001,Abuha b. Ihi,Samuel,B1,1,B,X
2578,106,Directed,1507,0504.042b.001,Samuel,Father of Samuel,B0,0,B,Y
121,1764,Directed,1804,0303.023a.001,Abbaye,Joseph[b.Hiyya],B3,3,B,Y
121,2581,Directed,1499,0207.036ba.001,Abbaye,Rabbah,B3,3,B,Y
B0302_102,121,Directed,1754,0302.109b.001,Anon[Ket43_epitropos of estate],Abbaye,B4,4,B,N
B0302_57,121,Directed,1745,0302.091b.001,Anon[Ket37_heirs],Abbaye,B4,4,B,N
B0302_56,121,Directed,1744,0302.091b.001,Anon[Ket36_creditor],Abbaye,B4,4,B,N
_121,121,Directed,1705,0302.060b.001,Tenant of Abaye,Abbaye,B4,4,B,Y
0301_34,121,Directed,1656,0301.121b.001,Wife of missing husband,Abbaye,B4,4,B,N
_2518,121,Directed,1649,0301.106b.001,DIL of Pappa,Abbaye,B4,4,B,Y
0503_17,121,Directed,1595,0503.077a.001,Anon owner of slaughtered animal,Abbaye,B4,4,B,N
0306_30+,121,Directed,1557,0306.060b.001,field owners,Abbaye,B4,4,B,N
B0402_34,121,Directed,1441,0402.116a.001,Anon[BM-33],Abbaye,B4,4,B,N
2140,121,Directed,1419,0402.069a.001,Menashya b. Gada[B4],Abbaye,B4,4,B,Y
be_bar_Marion,121,Directed,1391,0402.024b.002,property of be bar Marion,Abbaye,B4,4,B,X
B0402_8,121,Directed,1390,0402.024b.002,Anonymous finder,Abbaye,B4,4,B,X
1840,121,Directed,1387,0402.023b.001,Jacob b. Abba[B4],Abbaye,B4,4,B,Y
B0403_69+,121,Directed,1371,0403.168b.001,[Arabs],Abbaye,B4,4,B,N
B0403_68+,121,Directed,1370,0403.168b.001,Landowners in Pumbedita,Abbaye,B4,4,B,N
B0403_06,121,Directed,1364,0403.167a.002,[seller; implied],Abbaye,B4,4,B,N
B0403_05,121,Directed,1363,0403.167a.002,purchaser of brothers' property;,Abbaye,B4,4,B,N
B0403_08,121,Directed,1362,0403.167a.001,[seller; implied],Abbaye,B4,4,B,N
B0403_07,121,Directed,1361,0403.167a.001,Purchaser of  purchase of landed property,Abbaye,B4,4,B,N
2518,121,Directed,1321,0403.106b.001,Pappa[B5],Abbaye,B4,4,B,Y
133,2647,Directed,1472,0401.115a.002,Abimi b. Nazi FIL of Ravina,Rabina,B7,7,B,Y
135,2285,Directed,1599,0503.095b.002,Hanina Hoza'a[B3],Nahman,B3,3,B,Y
_1952,139,Directed,1478,0401.112a.001,son of father in law of Yirmiya,Abin,P3,3,P,Y
1952,139,Directed,1477,0401.112a.001,Yirmiyah[P4],Abin,P3,3,P,Y
149,1570,Directed,1516,0306.005b.002,Rabin b. Hisda,Yohanan,P2,2,P,Y
149,2582,Directed,1262,0403.013b.001,Rabin b. Hinnena[B3x],Raba,B4,4,B,Y
194,1764,Directed,1270,0403.022a.003,Ada b. Abba[B4],Joseph[b.Hiyya],B3,3,B,Y
1094,194,Directed,1882,0201.140a.001,Hiyya b. Abin,Ada b. Ahavah,B2,2,B,N
_194,194,Directed,1491,0207.004a.001,Host of AbA,Ada b. Ahavah,B2,2,B,Y
201,571,Directed,1593,del,Ada b. Habu[x],Ashi,B6,6,B,Y
220,571,Directed,1859,0307.065b.001,Ada Sabba  b. Rab Mari b. Isur,Ashi,B6,6,B,N
229,1764,Directed,1700,0302.057a.001,Avya,Joseph[b.Hiyya],B3,3,B,Y
0301_11,246,Directed,1625,0301.046b.001,convert [male],Oshaya b. Hiyya,Px,X,P,N
265,2582,Directed,1366,0403.167a.003,Aha b. Ada[B3],Raba,B4,4,B,Y
276,1345,Directed,1809,0303.090a.001,Aha b. Huna,Hisda,B3,3,B,Y
304,2198,Directed,1514,0101.045b.001,Aha of Difti,Maremar,B6,6,B,Y
310,495,Directed,1616,0301.045a.001,Aha Sar habirah,Ami,P4,4,P,N
334,2285,Directed,1430,0402.093b.002,Aybo[x],Nahman,B3,3,B,Y
B0302_31,343,Directed,1696,0302.054a.003,wife's heirs,Idi b. Abin,B4,4,B,N
B0302_30,343,Directed,1695,0302.054a.003,wife,Idi b. Abin,B4,4,B,N
B0302_29,343,Directed,1694,0302.054a.003,Deceased,Idi b. Abin,B4,4,B,N
0303_06,467,Directed,1798,0303.021b.004,Anon,Eleazar,P3,3,P,N
0607_01,467,Directed,1773,0607.020b.001,Woman,Eleazar,P3,3,P,N
1544,485,Directed,1590,0503.056b.001,Joshua b. Levi[P1],Eleazar ha-Qappar,Lx,X,0,Y
0307_01,495,Directed,1848,0307.008b.001,seller,Ammi,P4,4,P,Y
_899+,495,Directed,1847,0307.008b.001,Sons of Huna bar Abin,Ammi,P4,4,P,Y
B0404_02,495,Directed,1826,0404.031a.001,anon,Ammi,P4,4,P,N
B0404_01,495,Directed,1825,0404.031a.001,anon,Ammi,P4,4,P,N
sorba_derabbanan_02,495,Directed,1763,0211.017a.001,rabbinic disciple,Ammi,P4,4,P,Y
B0302_64+,495,Directed,1751,0302.098a.002,Orphans,Ammi,P4,4,P,N
B0302_63,495,Directed,1750,0302.098a.002,depositary,Ammi,P4,4,P,N
_2085,495,Directed,1736,0302.085b.001,heirs of Miyyasha b. b. Joshua[P2],Ammi,P4,4,P,Y
B0302_52,495,Directed,1735,0302.085b.001,Depositor,Ammi,P4,4,P,Y
B0302_41,495,Directed,1715,0302.080a.002,Anon[Ket30],Ammi,P4,4,P,N
B0302_8,495,Directed,1669,0302.025b.001,Anon[Ket7 priest],Ammi,P4,4,P,N
B0302_7,495,Directed,1668,0302.025b.001,Anon[Ket6 witness],Ammi,P4,4,P,N
0301_27,495,Directed,1645,0301.105a.001,widow,Ami,P4,4,P,N
0301_26,495,Directed,1644,0301.105a.001,Levir,Ami,P4,4,P,N
0301_17,495,Directed,1633,0301.065b.003,Wife with no children from husband,Ami,P4,4,P,N
2977,495,Directed,1617,0301.045a.001,Tanhum b Hiyya of Acco,Ami,P4,4,P,N
B0503-09,495,Directed,1581,0503.048b.001,anon(slaughterer or animal owner),Ammi,P4,4,P,N
0306_35,495,Directed,1566,0306.082a.001,[one preparing a divorce],Ammi[alit. Yohanan; Rosh: Yannai],P4,4,P,N
0306_27,495,Directed,1553,0306.054b.002,Scribe of Torah,Ami,P4,4,P,N
0306_26,495,Directed,1552,0306.054b.001,buyer of pure goods.,Ami,P4,4,P,N
0306_21,495,Directed,1545,0306.046b.002,Sold himself to the games,Ami,P4,4,P,N
0306_19,495,Directed,1543,0306.045a.001,owner of slave,Ami,P4,4,P,N
0306_18,495,Directed,1542,0306.045a.001,escaped slave,Ami,P4,4,P,N
723,495,Directed,1517,0306.005b.003,Bar Hadaya,Ami,P4,4,P,Y
0207_03,495,Directed,1495,0207.007a.002,Buyer of eggs,Ami,Xx,X,X,N
0207_02,495,Directed,1494,0207.007a.001,Buyer of eggs,Ami,Xx,X,X,N
_2178,495,Directed,1402,0402.039b.001,brother,Ammi,P4,4,P,Y
2178,495,Directed,1401,0402.039b.001,Mari b. Isaq,Ammi,P4,4,P,Y
B0403_32+,495,Directed,1308,0403.060a.001,anon[BB-32; people in public domain],Ammi,P4,4,P,X
B0403_31,495,Directed,1307,0403.060a.001,anon[BB-31;Owner of house],Ammi,P4,4,P,X
B0403_30,495,Directed,1306,0403.059a.001,anon[BB-30],Ammi,P4,4,P,N
0406_05,495,Directed,1283,0403.033b.001; 0406.032b.001,Witness,Ammi,P4,4,P,N
0406_04,495,Directed,1282,0403.033b.001; 0406.032b.001,Anon litigant 2,Ammi,P4,4,P,N
0406_03,495,Directed,1281,0403.033b.001; 0406.032b.001,Anon litigant 1,Ammi,P4,4,P,N
2594,497,Directed,1520,0306.005b.004,Rabbah bar bar Hanah,Eliezer,P3,3,P,Y
B0302_37,514,Directed,1711,0302.069b.001,Anon[Ke26_brothers],Amemar,B6,6,B,N
B0302_36,514,Directed,1710,0302.069b.001,Anon[Ket25_widow],Amemar,B6,6,B,N
0301_10,514,Directed,1624,0301.045b.003,Offspring of unmarried or gentile OR offspring of married and gentile,Amemar,B6,6,B,N
0303_08,534,Directed,1802,0303.022b.002,Anon,Assi,B6x,6,B,N
0303_05,534,Directed,1797,0303.021b.003,Anon,Assi,B6x,6,B,N
535,1570,Directed,1535,0306.0357.001,Relation of Asi,Yohanan,P3,3,P,Y
535,535,Directed,1534,0306.0357.001,Relation of Asi,Assi,P3,3,P,Y
723,535,Directed,1518,0306.005b.003,Bar Hadaya,Assi,P3,3,P,Y
anon_in_rab_settingx,535,Directed,1511,0101.022a.001,anon [in rab settingx],Assi,P3,3,P,Y
571,2647,Directed,1466,0401.098a.001,Ashi[B6],Rafram,B6,6,B,Y
10131,571,Directed,1871,0406.030b.003,Mar Zutra,Amemar,B6,6,B,Y
1804,571,Directed,1870,0406.030b.003,Yemar,Amemar,B6,6,B,Y
2164,571,Directed,1858,0307.065b.001,Mar Zutra b. Rab Mari b. Isur,Ashi,B6,6,B,N
B0211_02,571,Directed,1762,0211.010b.001,[borrowers],Ashi,B6,6,B,Y
2647,571,Directed,1756,0210.026b.001,Ravina,Ashi,B6,6,B,Y
B0302_55,571,Directed,1741,"0302.086a.001; [Segal, p. 20 BQ 98b]",Anon[Ket_55],Ashi,B6,6,B,X
B0302_54,571,Directed,1740,"0302.086a.001; [Segal, p. 20 BQ 98b]",Anon[Ket_54],Ashi,B6,6,B,X
Demon,571,Directed,1607,0503.105b.001,[Demon],Ashi,B6,6,B,N
B0503-23,571,Directed,1606,0503.105b.001,Porters,Ashi,B6,6,B,N
B0503-07,571,Directed,1579,0503.047a.002,anon(slaughterer or animal owner),Ashi,B6,6,B,N
0504_03,571,Directed,1506,0504.036b.002,Anon,Ashi,B6,6,B,N
B0401_22+,571,Directed,1483,0401.117a.001,gentiles,Ashi,B6,6,B,Y
B0401_21,571,Directed,1482,0401.117a.001,Anon[BQ-16],Ashi,B6,6,B,Y
2189,571,Directed,1481,0401.117a.001,Mari b. Pinhas b. Hisda[x],Ashi,B6,6,B,Y
B0402_16+,571,Directed,1418,0402.067a.002,Anon[BM-17; orphana],Ashi,B6,6,B,N
2166,571,Directed,1327,0403.126b.001,Mar Zutra mi-deRishba[x],Ashi,B6,6,B,X
B0403_8+,571,Directed,1272,0403.025b.001,Anon[BB-8;Sesame grinders],Ashi,B6,6,B,X
Pappi_Yokna'a,571,Directed,1271,0403.025b.001,Pappi Yo[k]na'a,Ashi,B6,6,B,X
600,1764,Directed,1864,0307.076b.001,Bibi,Joseph[b.Hiyya],B3,3,B,Y
B0302_51,602,Directed,1734,0302.085a.005,Anon[Ket35_litigant],Bibi b. Abbaye,B5,5,B,N
B0302_50,602,Directed,1733,0302.085a.005,Anon[Ket34_woman],Bibi b. Abbaye,B5,5,B,N
0301_20,602,Directed,1637,0301.075b.002,Anon-male,Bibi b. Abbaye,B5,5,B,N
993,602,Directed,1338,0403.151a.001,Zebid,Bibi b. Abbaye,B5,5,B,Y
_1006,602,Directed,1337,0403.151a.001,Mother of Zutra b. Tovya,Bibi b. Abbaye,B5,5,B,Y
1006,602,Directed,1336,0403.151a.001,Zutra b. Tovya[B3x],Bibi b. Abbaye,B5,5,B,Y
B0403_29+,687,Directed,1304,0403.058a.002,anon[BB-29; heirs; 10],Bena'ah,P1,1,P,N
B0403_28+,687,Directed,1303,0403.058a.001,anon[BB-28; heirs; 3],Bena'ah,P1,1,P,N
723,*581,Directed,1519,0306.005b.003,Bar Hadaya,*Ahi,B1,1,B,Y
0301_31,787,Directed,1650,0301.110a.001,bride,Berona,B2,2,B,N
B0302_4,828,Directed,1665,0302.010b.001,Anon[Ket4],Gamaliel the Elder,E,0,P,N
B0302_2,829,Directed,1662,0302.010a.002,Anon[ket2],Gamaliel,Yx,0,P,N
2546,829,Directed,1503,0504.036a.001,Zadoq,Gamaliel,T,0,P,Y
B0503-19+,830,Directed,1602,0503.098a.001,Anon,Gamaliel b. R,P0,0,P,N
871,2582,Directed,1263,0403.013b.001,Dimi b. Hinnena[B3x],Raba,B4,4,B,Y
873,2285,Directed,1346,0403.151a.006,Dimi b. Yosef[B3],Nahman,B3,3,B,Y
881,1764,Directed,1268,0403.022a.003,Rab Dimi of Nehardea[4],Joseph[b.Hiyya],B3,3,B,Y
895,2285,Directed,1301,0403.054b.002,Huna[B2],Nahman,B3,3,B,Y
0307_12,895,Directed,1852,0307.050a.001,anon husband; anon wife,Huna,B2,2,B,N
0307_11,895,Directed,1851,0307.050a.001,anon husband; anon wife,Huna,B2,2,B,N
0303_03,895,Directed,1795,0303.021b.001,Anon,Huna,Bx,X,B,N
2676,895,Directed,1757,0210.026b.002,Rami b. Abba,Huna,Bx,X,B,Y
1094,895,Directed,1598,0503.095b.001,Hiyya b Abin[B3],Huna,B2,2,B,Y
0306_20+,895,Directed,1544,0306.046b.001,Captivesx,Huna,B2,2,B,N
0306_11,895,Directed,1532,0306.035a.001,Widow,Huna,B2,2,B,N
1194,895,Directed,1500,0207.040a.001,Hana bar Hanilai,Huna,B2,2,B,Y
B0401_19,895,Directed,1471,0401.115a.001,unspecified,Huna,Bx,X,B,X
B0401_05,895,Directed,1448,0401.037a.001;0504.050b.001,Anon[BQ-5],Huna,Bx,X,B,X
hanan_bisha,895,Directed,1447,0401.037a.001;0504.050b.001,Hanan Bisha,Huna,Bx,X,B,X
B0402_99,895,Directed,1379,0402.007a.001,anon[BM-99],Huna,B2,2,B,N
B0402_1,895,Directed,1378,0402.007a.001,Anon[BM-1],Huna,B2,2,B,N
B0403_80+,895,Directed,1349,0403.153a.001,[grantees],Huna,B2,2,B,N
B0403_55,895,Directed,1348,0403.153a.001,One who gave in anticipation of death,Huna,B2,2,B,N
918,2582,Directed,1563,0306.073a.003,Huna b. Yehoshua,Raba,B4,4,B,Y
B0302_33,918,Directed,1702,0302.060b.002,Anon[Ket23],Huna b. Joshua,B5,5,B,N
0301_24,918,Directed,1641,0301.101b.001,Anon,Hunah b. Yehoshua,B5,5,B,X
